# SAMPLE outcomes file (replace with real outcomes).
# Outcomes definition: CONUS mean(Feb_anomaly, Mar_anomaly) relative to 1901–2000 baseline.
# outcome  (binary)  = EARLY_SPRING if mean_anom > 0 else LONG_WINTER
# winter_bucket (only when outcome=LONG_WINTER) = EARLY_WINTER if mean_anom <= -1.0F else NORMAL_WINTER
year,target,feb_anom,mar_anom,mean_anom,outcome,winter_bucket
2016,US_CONUS_FEBMAR_MEAN_ANOM,-1.057,-2.095,-1.576,LONG_WINTER,
2017,US_CONUS_FEBMAR_MEAN_ANOM,0.906,-2.565,-0.830,LONG_WINTER,
2018,US_CONUS_FEBMAR_MEAN_ANOM,0.215,-0.806,-0.295,LONG_WINTER,
2019,US_CONUS_FEBMAR_MEAN_ANOM,-2.652,0.045,-1.304,LONG_WINTER,
2020,US_CONUS_FEBMAR_MEAN_ANOM,-2.775,-0.398,-1.587,LONG_WINTER,
2021,US_CONUS_FEBMAR_MEAN_ANOM,-2.581,-2.456,-2.518,LONG_WINTER,
2022,US_CONUS_FEBMAR_MEAN_ANOM,-0.453,1.961,0.754,EARLY_SPRING,
2023,US_CONUS_FEBMAR_MEAN_ANOM,-2.257,-1.661,-1.959,LONG_WINTER,
2024,US_CONUS_FEBMAR_MEAN_ANOM,0.765,2.686,1.725,EARLY_SPRING,
2025,US_CONUS_FEBMAR_MEAN_ANOM,0.463,-0.620,-0.079,LONG_WINTER,
